Customer Name,Company Type,Complaint Category,Query,Date
Customer 1,Hospital,Price and Value,Why are the prices so high for such basic services?,11/16/2023
Customer 2,Hotel,Operational Issue,"Why are your facilities not maintained properly, causing so many inconveniences?",10/3/2024
Customer 3,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,12/2/2023
Customer 4,Hospital,Fraud and Scam,Why did I find unauthorized charges on my account?,5/15/2024
Customer 5,Hospital,Operational Issue,"Why are your facilities not maintained properly, causing so many inconveniences?",7/26/2024
Customer 6,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,3/17/2024
Customer 7,Hotel,Feedback,Can you explain why my experience was so different from what was advertised?,2/27/2024
Customer 8,Hospital,Price and Value,Why are the prices so high for such basic services?,1/8/2024
Customer 9,Bank,Feedback,Can you explain why my experience was so different from what was advertised?,10/26/2023
Customer 10,Hospital,Price and Value,Why was I billed more than what I had agreed upon?,4/17/2024
Customer 11,Hotel,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,4/20/2024
Customer 12,Hotel,Operational Issue,Why is there always an issue with your online services?,1/25/2024
Customer 13,Hotel,Customer Service,Why does it take forever to resolve even the simplest issues?,11/19/2023
Customer 14,Hotel,Customer Service,How long do I need to wait for someone to respond to my service request?,6/24/2024
Customer 15,Bank,Fraud and Scam,Why did I find unauthorized charges on my account?,1/19/2024
Customer 16,Hospital,Customer Service,Why is the customer service so slow and unresponsive?,10/16/2023
Customer 17,Hotel,Fraud and Scam,Why did I find unauthorized charges on my account?,10/5/2024
Customer 18,Hotel,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,2/16/2024
Customer 19,Hospital,Price and Value,Why was I billed more than what I had agreed upon?,1/4/2024
Customer 20,Hotel,Operational Issue,Why is there always an issue with your online services?,9/21/2024
Customer 21,Hospital,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,10/25/2023
Customer 22,Bank,Feedback,Can you explain why my experience was so different from what was advertised?,5/23/2024
Customer 23,Hotel,Fraud and Scam,Why did I find unauthorized charges on my account?,3/21/2024
Customer 24,Hospital,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,10/9/2023
Customer 25,Hotel,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,2/7/2024
Customer 26,Bank,Operational Issue,Can you explain why the system was down for hours?,3/5/2024
Customer 27,Hospital,Price and Value,Why was I billed more than what I had agreed upon?,8/31/2024
Customer 28,Bank,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,5/5/2024
Customer 29,Hotel,Customer Service,Why does it take forever to resolve even the simplest issues?,4/30/2024
Customer 30,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,11/22/2023
Customer 31,Hotel,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,7/5/2024
Customer 32,Hotel,Operational Issue,Why is there always an issue with your online services?,4/15/2024
Customer 33,Hospital,Price and Value,Why are the prices so high for such basic services?,11/13/2023
Customer 34,Bank,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,6/2/2024
Customer 35,Hotel,Customer Service,Why is the customer service so slow and unresponsive?,2/3/2024
Customer 36,Bank,Fraud and Scam,Why did I find unauthorized charges on my account?,1/25/2024
Customer 37,Hospital,Price and Value,Why are the prices so high for such basic services?,9/28/2024
Customer 38,Bank,Feedback,How do you plan to improve based on customer feedback like mine?,2/2/2024
Customer 39,Hotel,Price and Value,Can you explain the hidden fees added to my bill?,1/2/2024
Customer 40,Bank,Price and Value,Why are the prices so high for such basic services?,12/12/2023
Customer 41,Hotel,Feedback,How do you plan to improve based on customer feedback like mine?,4/7/2024
Customer 42,Bank,Customer Service,How long do I need to wait for someone to respond to my service request?,7/6/2024
Customer 43,Bank,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,2/28/2024
Customer 44,Hotel,Customer Service,How long do I need to wait for someone to respond to my service request?,5/1/2024
Customer 45,Hotel,Operational Issue,Can you explain why the system was down for hours?,2/28/2024
Customer 46,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,6/23/2024
Customer 47,Hospital,Fraud and Scam,Why did I find unauthorized charges on my account?,2/3/2024
Customer 48,Hotel,Feedback,Can you explain why my experience was so different from what was advertised?,2/18/2024
Customer 49,Hotel,Operational Issue,Can you explain why the system was down for hours?,2/21/2024
Customer 50,Hospital,Customer Service,Why is the customer service so slow and unresponsive?,12/6/2023
Customer 51,Bank,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,2/13/2024
Customer 52,Bank,Customer Service,How long do I need to wait for someone to respond to my service request?,7/10/2024
Customer 53,Hospital,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,7/28/2024
Customer 54,Hotel,Price and Value,Why was I billed more than what I had agreed upon?,10/11/2023
Customer 55,Bank,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,11/18/2023
Customer 56,Bank,Feedback,How do you plan to improve based on customer feedback like mine?,11/8/2023
Customer 57,Bank,Customer Service,How long do I need to wait for someone to respond to my service request?,10/21/2023
Customer 58,Hotel,Feedback,How do you plan to improve based on customer feedback like mine?,10/6/2023
Customer 59,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,2/2/2024
Customer 60,Hotel,Operational Issue,Why is there always an issue with your online services?,4/4/2024
Customer 61,Hospital,Price and Value,Why are the prices so high for such basic services?,6/24/2024
Customer 62,Bank,Customer Service,Why does it take forever to resolve even the simplest issues?,5/14/2024
Customer 63,Hotel,Price and Value,Why are the prices so high for such basic services?,4/15/2024
Customer 64,Hotel,Feedback,Can you explain why my experience was so different from what was advertised?,8/23/2024
Customer 65,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,6/19/2024
Customer 66,Bank,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,12/20/2023
Customer 67,Bank,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,4/14/2024
Customer 68,Hospital,Feedback,Can you explain why my experience was so different from what was advertised?,3/26/2024
Customer 69,Hotel,Customer Service,How long do I need to wait for someone to respond to my service request?,4/10/2024
Customer 70,Hospital,Feedback,Can you explain why my experience was so different from what was advertised?,8/11/2024
Customer 71,Bank,Fraud and Scam,Why did I find unauthorized charges on my account?,11/18/2023
Customer 72,Hotel,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,11/4/2023
Customer 73,Bank,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,1/9/2024
Customer 74,Bank,Customer Service,Why is the customer service so slow and unresponsive?,5/11/2024
Customer 75,Hotel,Feedback,How do you plan to improve based on customer feedback like mine?,1/31/2024
Customer 76,Hospital,Bribery,Why do I need to pay extra for services that should be standard?,8/4/2024
Customer 77,Hotel,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,10/14/2023
Customer 78,Hospital,Customer Service,Why does it take forever to resolve even the simplest issues?,11/8/2023
Customer 79,Bank,Price and Value,Why was I billed more than what I had agreed upon?,7/31/2024
Customer 80,Hospital,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,1/9/2024
Customer 81,Hospital,Customer Service,Why is the customer service so slow and unresponsive?,7/31/2024
Customer 82,Hospital,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,5/18/2024
Customer 83,Hospital,Price and Value,Why are the prices so high for such basic services?,7/7/2024
Customer 84,Hospital,Bribery,Why do I need to pay extra for services that should be standard?,2/29/2024
Customer 85,Hospital,Customer Service,Why does it take forever to resolve even the simplest issues?,12/23/2023
Customer 86,Hospital,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,8/28/2024
Customer 87,Hotel,Fraud and Scam,Why did I find unauthorized charges on my account?,7/19/2024
Customer 88,Hotel,Price and Value,Can you explain the hidden fees added to my bill?,10/20/2023
Customer 89,Hotel,Bribery,Why do I need to pay extra for services that should be standard?,11/1/2023
Customer 90,Hotel,Feedback,Why wasn't my feedback on the service acknowledged?,2/12/2024
Customer 91,Hospital,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,1/16/2024
Customer 92,Bank,Operational Issue,Can you explain why the system was down for hours?,10/23/2023
Customer 93,Bank,Customer Service,Why is the customer service so slow and unresponsive?,2/14/2024
Customer 94,Hotel,Price and Value,Can you explain the hidden fees added to my bill?,11/23/2023
Customer 95,Hospital,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,2/25/2024
Customer 96,Hotel,Feedback,Can you explain why my experience was so different from what was advertised?,9/29/2024
Customer 97,Hospital,Feedback,How do you plan to improve based on customer feedback like mine?,11/6/2023
Customer 98,Bank,Fraud and Scam,Why did I find unauthorized charges on my account?,7/13/2024
